city_id|muni_id|c_name
1|1|Aguascalientes
2|2|Asientos
3|3|Calvillo
4|4|Cosio
5|5|Jesús María
6|6|Pabellón de Arteaga
7|7|Rincón de Romos
8|9|Tepezala
9|11|San Francisco de los Romo
10|12|Ensenada
11|12|Rodolfo Sánchez T (Maneadero)
12|13|Mexicali
13|13|San Felipe
14|14|Tecate
15|15|Tijuana
16|16|Rosarito
17|17|Ciudad Constitución (Villa Constitución)
18|17|Puerto Adolfo López Mateos
19|18|Guerrero Negro
20|18|Heroica Mulegé
21|18|San Ignacio
22|18|Villa Alberto A Alvarado
23|19|La Paz
24|19|Todos Santos
25|20|Cabo San Lucas
26|20|San José del Cabo
27|21|Loreto
28|22|Calkini
29|23|San Francisco de Campeche
30|24|Ciudad del Carmen
31|24|Sabancuy
32|25|Champotón
33|26|Hecelchakan
34|26|Pomuch
35|27|Hopelchen
36|30|Escárcega
37|32|Candelaria
38|82|Acala
39|89|Arriaga
40|95|Cacahotan
41|97|Cintalapa de Figueroa
42|99|Comitán de Domínguez
43|107|Chiapa de Corzo
44|120|Huixtla
45|126|Jiquipilas
46|131|Mapastepec
47|132|Las Margaritas
48|137|Motozintla
49|139|Ocosingo
50|141|Ocozocoautla de Espinosa
51|145|Palenque
52|148|Pichucalco
53|149|Pijijiapan
54|154|Reforma
55|155|Las Rosas
56|158|San Cristóbal de las Casas
57|169|Puerto Madero
58|169|Tapachula
59|176|Tonalá
60|180|Tuxtla Gutiérrez
61|185|Venustiano Carranza
62|187|Villaflores
63|200|Aldama
64|209|Ciudad Camargo
65|215|Anáhuac
66|215|Ciudad Cuauhtémoc
67|217|Chihuahua
68|219|Ciudad Delicias
69|230|Hidalgo del Parral
70|234|Jiménez
71|235|Ciudad Juárez
72|238|Madera
73|248|Nuevo Casas Grandes
74|250|Ojinaga
75|34|Ciudad Acuña
76|35|Ciudad Allende
77|36|Arteaga
78|38|Castaños
79|39|Cuatro Ciénegas de Carranza
80|41|Francisco I Madero
81|42|Frontera
82|49|Matamoros de la Laguna
83|50|Monclova
84|51|Morelos
85|52|Melchor Muzquiz
86|53|Nadadores
87|54|Nava
88|56|Parras de la Fuente
89|57|Piedras Negras
90|59|Ramos Arizpe
91|60|Ciudad Sabinas
92|62|Saltillo
93|63|San Buenaventura
94|64|Nueva Rosita
95|65|San Pedro de las Colonias
96|67|Torreón
97|68|Viesca
98|70|Zaragoza
99|71|Armería
100|72|Colima
101|77|Manzanillo
102|79|Tecoman
103|80|Villa de Álvarez
104|282|Canatlán
105|286|Victoria de Durango
106|288|Gómez Palacio
107|293|Ciudad Lerdo
108|297|Nombre de Dios
109|299|Santa María del Oro
110|301|Pánuco de Coronado
111|302|Peñón Blanco
112|304|El Salto
113|309|San Juan del Río
114|313|Santiago Papasquiaro
115|319|Vicente Guerrero
116|321|Abasolo
117|322|Acámbaro
118|323|San Miguel de Allende
119|325|Apaseo el Grande
120|327|Celaya
121|327|Rincón de Tamayo
122|329|Comonfort
123|329|Empalme Escobedo
124|331|Cortazar
125|332|Cuerámaro
126|335|Guanajuato
127|336|Huanimaro
128|337|Irapuato
129|339|Jerécuaro
130|340|León de los Aldama
131|341|Moroleón
132|343|Pénjamo
133|345|Purísima de Bustos
134|346|Romita
135|347|Salamanca
136|348|Salvatierra
137|351|San Francisco del Rincón
138|353|San Luis de la Paz
139|356|Santiago Maravatio
140|357|Silao
141|358|Tarandacuao
142|361|Uriangato
143|362|Valle de Santiago
144|364|Villagrán
