mime_type_id|type|name|extension
1|application/andrew-inset|Andrew Toolkit|NA
2|application/applixware|Applixware|aw
3|application/atom+xml|Atom Syndication Format|atom
4|application/atomcat+xml|Atom Publishing Protocol|atomcat
5|application/atomsvc+xml|Atom Publishing Protocol Service Document|atomsvc
6|application/ccxml+xml|Voice Browser Call Control|ccxml
7|application/cdmi-capability|Cloud Data Management Interface (CDMI) - Capability|cdmia
8|application/cdmi-container|Cloud Data Management Interface (CDMI) - Contaimer|cdmic
9|application/cdmi-domain|Cloud Data Management Interface (CDMI) - Domain|cdmid
10|application/cdmi-object|Cloud Data Management Interface (CDMI) - Object|cdmio
11|application/cdmi-queue|Cloud Data Management Interface (CDMI) - Queue|cdmiq
12|application/cu-seeme|CU-SeeMe|cu
13|application/davmount+xml|Web Distributed Authoring and Versioning|davmount
14|application/dssc+der|Data Structure for the Security Suitability of Cryptographic Algorithms|dssc
15|application/dssc+xml|Data Structure for the Security Suitability of Cryptographic Algorithms|xdssc
16|application/ecmascript|ECMAScript|es
17|application/emma+xml|Extensible MultiModal Annotation|emma
18|application/epub+zip|Electronic Publication|epub
19|application/exi|Efficient XML Interchange|exi
20|application/font-tdpfr|Portable Font Resource|pfr
21|application/hyperstudio|Hyperstudio|stk
22|application/ipfix|Internet Protocol Flow Information Export|ipfix
23|application/java-archive|Java Archive|jar
24|application/java-serialized-object|Java Serialized Object|ser
25|application/java-vm|Java Bytecode File|class
26|application/javascript|JavaScript|js
27|application/json|JavaScript Object Notation (JSON)|json
28|application/mac-binhex40|Macintosh BinHex 4.0|hqx
29|application/mac-compactpro|Compact Pro|cpt
30|application/mads+xml|Metadata Authority  Description Schema|mads
31|application/marc|MARC Formats|mrc
32|application/marcxml+xml|MARC21 XML Schema|mrcx
33|application/mathematica|Mathematica Notebooks|ma
34|application/mathml+xml|Mathematical Markup Language|mathml
35|application/mbox|Mbox database files|mbox
36|application/mediaservercontrol+xml|Media Server Control Markup Language|mscml
37|application/metalink4+xml|Metalink|meta4
38|application/mets+xml|Metadata Encoding and Transmission Standard|mets
39|application/mods+xml|Metadata Object Description Schema|mods
40|application/mp21|MPEG-21|m21
41|application/mp4|MPEG4|mp4
42|application/msword|Microsoft Word|doc
43|application/mxf|Material Exchange Format|mxf
44|application/octet-stream|Binary Data|bin
45|application/oda|Office Document Architecture|oda
46|application/oebps-package+xml|Open eBook Publication Structure|opf
47|application/ogg|Ogg|ogx
48|application/onenote|Microsoft OneNote|onetoc
49|application/patch-ops-error+xml|XML Patch Framework|xer
50|application/pdf|Adobe Portable Document Format|pdf
51|application/pgp-encrypted|Pretty Good Privacy|NA
52|application/pgp-signature|Pretty Good Privacy - Signature|pgp
53|application/pics-rules|PICSRules|prf
54|application/pkcs10|PKCS #10 - Certification Request Standard|p10
55|application/pkcs7-mime|PKCS #7 - Cryptographic Message Syntax Standard|p7m
56|application/pkcs7-signature|PKCS #7 - Cryptographic Message Syntax Standard|p7s
57|application/pkcs8|PKCS #8 - Private-Key Information Syntax Standard|p8
58|application/pkix-attr-cert|Attribute Certificate|ac
59|application/pkix-cert|Internet Public Key Infrastructure - Certificate|cer
60|application/pkix-crl|Internet Public Key Infrastructure - Certificate Revocation Lists|crl
61|application/pkix-pkipath|Internet Public Key Infrastructure - Certification Path|pkipath
62|application/pkixcmp|Internet Public Key Infrastructure - Certificate Management Protocole|pki
63|application/pls+xml|Pronunciation Lexicon Specification|pls
64|application/postscript|PostScript|ai
65|application/prs.cww|CU-Writer|cww
66|application/pskc+xml|Portable Symmetric Key Container|pskcxml
67|application/rdf+xml|Resource Description Framework|rdf
68|application/reginfo+xml|IMS Networks|rif
69|application/relax-ng-compact-syntax|Relax NG Compact Syntax|rnc
70|application/resource-lists+xml|XML Resource Lists|rl
71|application/resource-lists-diff+xml|XML Resource Lists Diff|rld
72|application/rls-services+xml|XML Resource Lists|rs
73|application/rsd+xml|Really Simple Discovery|rsd
74|application/rss+xml|RSS - Really Simple Syndication|rss
75|application/rtf|Rich Text Format|rtf
76|application/sbml+xml|Systems Biology Markup Language|sbml
77|application/scvp-cv-request|Server-Based Certificate Validation Protocol - Validation Request|scq
78|application/scvp-cv-response|Server-Based Certificate Validation Protocol - Validation Response|scs
79|application/scvp-vp-request|Server-Based Certificate Validation Protocol - Validation Policies - Request|spq
80|application/scvp-vp-response|Server-Based Certificate Validation Protocol - Validation Policies - Response|spp
81|application/sdp|Session Description Protocol|sdp
82|application/set-payment-initiation|Secure Electronic Transaction - Payment|setpay
83|application/set-registration-initiation|Secure Electronic Transaction - Registration|setreg
84|application/shf+xml|S Hexdump Format|shf
85|application/smil+xml|Synchronized Multimedia Integration Language|smi
86|application/sparql-query|SPARQL - Query|rq
87|application/sparql-results+xml|SPARQL - Results|srx
88|application/srgs|Speech Recognition Grammar Specification|gram
89|application/srgs+xml|Speech Recognition Grammar Specification - XML|grxml
90|application/sru+xml|Search/Retrieve via URL Response Format|sru
91|application/ssml+xml|Speech Synthesis Markup Language|ssml
92|application/tei+xml|Text Encoding and Interchange|tei
93|application/thraud+xml|Sharing Transaction Fraud Data|tfi
94|application/timestamped-data|Time Stamped Data Envelope|tsd
95|application/vnd.3gpp.pic-bw-large|3rd Generation Partnership Project - Pic Large|plb
96|application/vnd.3gpp.pic-bw-small|3rd Generation Partnership Project - Pic Small|psb
97|application/vnd.3gpp.pic-bw-var|3rd Generation Partnership Project - Pic Var|pvb
98|application/vnd.3gpp2.tcap|3rd Generation Partnership Project - Transaction Capabilities Application Part|tcap
99|application/vnd.3m.post-it-notes|3M Post It Notes|pwn
100|application/vnd.accpac.simply.aso|Simply Accounting|aso
101|application/vnd.accpac.simply.imp|Simply Accounting - Data Import|imp
102|application/vnd.acucobol|ACU Cobol|acu
103|application/vnd.acucorp|ACU Cobol|atc
104|application/vnd.adobe.air-application-installer-package+zip|Adobe AIR Application|air
