asenta_id|zipcode_id|a_name|a_type
1|1|Zona Centro|Colonia
2|2|Delegación de La Secretaria de Comercio y Fomento Industrial|Gran Usuario
3|3|Palacio de Gobierno del Estado de Aguascalientes|Gran Usuario
4|4|Colinas del Rio|Fraccionamiento
5|4|Las Brisas|Fraccionamiento
6|4|Olivares Santana|Colonia
7|4|Ramon Romo Franco|Fraccionamiento
8|4|San Cayetano|Fraccionamiento
9|5|Colinas de San Ignacio|Fraccionamiento
10|5|Fundición II|Fraccionamiento
11|5|La Fundición|Fraccionamiento
12|5|Los Sauces|Fraccionamiento
13|6|Línea de Fuego|Colonia
14|7|Buenos Aires|Colonia
15|7|Circunvalación Norte|Fraccionamiento
16|7|Las Arboledas|Fraccionamiento
17|7|Villas de San Francisco|Fraccionamiento
18|8|Villas de La Universidad|Fraccionamiento
19|9|El Sol|Fraccionamiento
20|9|Gremial|Colonia
21|9|Industrial|Colonia
22|10|Altavista|Colonia
23|10|Curtidores|Colonia
24|10|La Concordia|Fraccionamiento
25|10|Miravalle|Colonia
26|10|Panorama|Fraccionamiento
27|11|Colinas del Poniente|Fraccionamiento
28|12|Bugambilias|Condominio
29|12|Del Carmen|Colonia
30|12|La Fe|Colonia
31|12|México|Colonia
32|12|Primavera|Colonia
33|12|San Pablo|Colonia
34|13|Guadalupe|Colonia
35|13|Heliodoro Garcia|Colonia
36|14|Gómez|Fraccionamiento
37|14|Moderno|Fraccionamiento
38|15|Valle del Rio San Pedro|Fraccionamiento
39|16|Guadalupe Posada|Unidad Habitacional
40|16|San Marcos|Barrio
41|16|San Marcos|Colonia
42|17|San Marcos|Fraccionamiento
43|18|Modelo|Fraccionamiento
44|18|Residencial del Valle I|Fraccionamiento
45|19|Residencial del Valle II|Fraccionamiento
46|20|Campestre 1a. Sección|Colonia
47|20|Campestre 2a. Sección|Colonia
48|20|Campestre La Herradura|Fraccionamiento
49|20|Club Campestre|Fraccionamiento
50|20|Jardines del Campestre|Condominio
51|20|La Querencia|Condominio
52|20|Los Vergeles|Fraccionamiento
53|20|Rancho San Antonio|Condominio
54|21|Granjas del Campestre|Fraccionamiento
55|21|Las Cavas|Fraccionamiento
56|21|Puerto las Hadas|Condominio
57|21|Talamantes Ponce|Colonia
58|21|Valle del Campestre|Fraccionamiento
59|21|Villas de Montenegro|Fraccionamiento
60|22|La Paloma|Condominio
61|22|Trojes de Oriente 1a Sección|Fraccionamiento
62|22|Trojes de Oriente 2a Sección|Fraccionamiento
63|22|Trojes de Oriente 3a Sección|Colonia
64|22|Valle de las Trojes|Fraccionamiento
65|22|Villas de San Nicolás|Fraccionamiento
66|23|La Troje|Fraccionamiento
67|23|Trojes de Alonso|Colonia
68|24|Aguascalientes 2000|Fraccionamiento
69|25|Cerrada de La Misión|Fraccionamiento
70|25|Cerrada El Molino|Condominio
71|25|Las Misiones|Fraccionamiento
72|25|Las Trojes|Condominio
73|25|Los Jarales|Condominio
74|25|Misión del Campanario|Fraccionamiento
75|25|Terzetto|Condominio
76|25|Trojes de Kristal|Fraccionamiento
77|25|Trojes del Sol|Condominio
78|25|Valle del Campanario|Fraccionamiento
79|25|Valle Real|Fraccionamiento
80|26|Lomas del Campestre 2a Sección|Fraccionamiento
81|26|Los Calicantos|Fraccionamiento
82|26|Villas del Campestre|Fraccionamiento
83|27|Jardines de La Concepción 1a Sección|Fraccionamiento
84|27|Jardines de La Concepción 2a Sección|Fraccionamiento
85|27|Los Bosques|Fraccionamiento
86|27|Rinconada los Bosques|Condominio
87|27|Trojes de Oriente|Colonia
88|28|Arroyo El Molino|Fraccionamiento
89|29|Galerías|Zona Comercial
90|30|Constitución|Fraccionamiento
91|30|El Rosedal|Fraccionamiento
92|30|Libertad|Fraccionamiento
93|30|Lomas de La Asunción|Fraccionamiento
94|30|Los Naranjos|Fraccionamiento
95|30|Montebello Della Stanza|Fraccionamiento
96|30|Natura|Fraccionamiento
97|30|Pozo Bravo Norte|Fraccionamiento
98|30|Pozo Bravo Sur|Fraccionamiento
99|30|Privada Guadalupe|Condominio
100|30|Residencial las Plazas|Condominio
101|30|Rinconada Pozo Bravo|Fraccionamiento
102|30|San José de Pozo Bravo|Fraccionamiento
103|30|Soberana Convención Revolucionaria|Fraccionamiento
104|30|Villa de Nuestra Señora de La Asunción Sector Alameda|Fraccionamiento
105|30|Villa de Nuestra Señora de La Asunción Sector Encino|Fraccionamiento
106|30|Villa de Nuestra Señora de La Asunción Sector Estación|Fraccionamiento
107|30|Villa de Nuestra Señora de La Asunción Sector Guadalupe|Fraccionamiento
108|30|Villa de Nuestra Señora de La Asunción Sector San Marcos|Fraccionamiento
109|30|Villa Notre Dame|Condominio
110|30|Villas de La Convención|Fraccionamiento
111|30|Villa Teresa|Fraccionamiento
112|31|Bosques del Prado Norte|Fraccionamiento
113|32|Lomas del Campestre 1a Sección|Fraccionamiento
114|33|Bosques del Prado Sur|Fraccionamiento
115|33|El Roble|Fraccionamiento
116|33|Estableros|Colonia
117|33|Fátima|Colonia
118|33|Independencia de México|Fraccionamiento
119|33|La Grasa|Fraccionamiento
120|33|Nueva Rinconada|Fraccionamiento
121|33|Primo Verdad|Colonia
122|33|Puerta Navarra|Condominio
123|33|Residencial Campestre Club de Golf Norte|Condominio
124|33|Residencial Campestre Club de Golf Sur|Condominio
125|33|San José del Arenal|Colonia
126|33|Unidad Ganadera|Colonia
127|34|Agropecuario|Zona Comercial
128|34|Centro Distribuidor de Básicos|Zona Comercial
129|35|La Rinconada|Fraccionamiento
130|36|El Plateado|Fraccionamiento
131|37|Residencial Pulgas Pandas Norte|Condominio
132|37|Residencial Pulgas Pandas Sur|Condominio
133|37|Villas del Vergel|Condominio
134|38|Las Hadas|Fraccionamiento
